compounds	name	maxFlux	condition	base_maxFlux	derivation_factor	agora_reference_flux	source_basis	notes
cpd00027	D-Glucose	10	gut_like	10	1	135.5803501	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	Gap-filled anaerobic glucose bound retained; EU-average AGORA provides dietary context.
cpd00159	L-Lactate	10	gut_like	10	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	Physiological lactate substrate retained from the gap-filled MJR8396C medium; not directly imposed from AGORA.
cpd00029	Acetate	5	gut_like	5	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	Physiological acetate substrate retained from the gap-filled MJR8396C medium; not directly imposed from AGORA.
cpd00067	H+	1000	gut_like	1000	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00001	H2O	1000	gut_like	1000	1	165892.3425	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00007	O2	0	gut_like	0	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	Oxygen uptake closed to enforce anaerobiosis.
cpd00011	CO2	1000	gut_like	1000	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00013	NH3	1000	gut_like	1000	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00009	Phosphate	1000	gut_like	1000	1	14.22660928	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00048	Sulfate	1000	gut_like	1000	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00971	Na+	1000	gut_like	1000	1	172.4462717	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00205	K+	1000	gut_like	1000	1	83.43380658	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00254	Mg	1000	gut_like	1000	1	14.52993211	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00063	Ca2+	1000	gut_like	1000	1	18.5490793	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00099	Cl-	1000	gut_like	1000	1	375.5574987	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd10515	Fe2+	1000	gut_like	1000	1	0.1092488137	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd10516	Fe3+	1000	gut_like	1000	1	0.1092488137	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00030	Mn2+	1000	gut_like	1000	1	0.0747023306	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00034	Zn2+	1000	gut_like	1000	1	0.1509635974	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00058	Cu2+	1000	gut_like	1000	1	0.03567494413	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00149	Co2+	1000	gut_like	1000	1		MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00305	Thiamin	1	gut_like	1	1	5.407858013	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00220	Riboflavin	1	gut_like	1	1	0.003693234128	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00133	Niacinamide	1	gut_like	1	1	0.1455276005	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00218	Nicotinate	1	gut_like	1	1	0.3086161923	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00644	Pantothenate	1	gut_like	1	1	0.02556970494	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00104	Biotin	1	gut_like	1	1	0.000178666328	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00041	L-Aspartate	2	gut_like	2	1	47.08674913	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00033	Glycine	2	gut_like	2	1	36.76468629	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00039	L-Lysine	2	gut_like	2	1	33.31154825	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00060	L-Methionine	2	gut_like	2	1	10.72740469	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00084	L-Cysteine	2	gut_like	2	1	7.511831638	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
cpd00119	L-Histidine	2	gut_like	2	1	14.02407663	MJR8396C gap-filled anaerobic base; EU-average AGORA-informed	
