substrate,compound,mapped,carbon_atoms,uptake_bound,background_growth,growth_rate,incremental_growth,incremental_growth_per_C,butyrate_flux,butyrate_yield_per_C,propionate_flux,propionate_yield_per_C,formate_flux,formate_yield_per_C,succinate_flux,succinate_yield_per_C
D-glucose,cpd00027,True,6,10.0,0.10559945305580482,0.6127848364954542,0.5071853834396494,0.008453089723994157,8.763169716889681,0.14605282861482802,1.6864457883287511,0.028107429805479187,14.959431902066363,0.2493238650344394,0.010380917211762153,0.00017301528686270256
D-fructose,cpd00082,True,6,10.0,0.10559945305580482,0.6127848364954542,0.5071853834396494,0.008453089723994157,8.763169716889674,0.1460528286148279,1.6864457883287511,0.028107429805479187,14.95943190206645,0.24932386503444084,0.010380917211761783,0.00017301528686269638
D-mannose,cpd00071,True,6,10.0,0.10559945305580482,0.20459894029562184,0.09899948723981702,0.0016499914539969505,6.607317996452999,0.11012196660754998,1.8953093229263638,0.03158848871543939,0.5164175560944517,0.008606959268240863,0.0034660202640944397,5.776700440157399e-05
D-ribose,cpd00105,True,5,12.0,0.10559945305580482,0.6145780030092509,0.508978549953446,0.008482975832557435,8.75077165849163,0.14584619430819382,1.6855282478167428,0.02809213746361238,14.944681899479091,0.24907803165798487,0.010411294453524178,0.00017352157422540298
D-xylose,cpd00154,True,5,12.0,0.10559945305580482,0.571700467915582,0.46610101485977723,0.007768350247662954,9.047229449759667,0.15078715749599444,1.7074681375039469,0.028457802291732448,15.297378511143156,0.2549563085190526,0.009684925073045858,0.00016141541788409764
maltose,cpd00179,True,12,5.0,0.10559945305580482,0.6305983491842756,0.5249988961284708,0.008749981602141181,8.640006045868876,0.14400010076448128,1.6773308403150518,0.027955514005250863,14.81290375968635,0.24688172932810584,0.010682688060940906,0.00017804480101568177
sucrose,cpd00076,True,12,5.0,0.10559945305580482,0.10559945305580482,0.0,0.0,2.281196385265602,0.038019939754426704,1.9459661021555426,0.03243276836925904,0.2665380934688653,0.0044423015578144215,0.0017889136846940268,2.981522807823378e-05
pyruvate,cpd00020,True,3,20.0,0.10559945305580482,0.43015141408172436,0.32455196102591954,0.005409199350431992,10.078080148428787,0.16796800247381313,1.7798969891079073,0.02966494981846512,1.0760068307384154,0.01793344717897359,0.0,0.0
acetate,cpd00029,True,2,30.0,0.10559945305580482,0.10559945305580479,-2.7755575615628914e-17,-4.625929269271486e-19,2.28119638526558,0.03801993975442633,1.9459661021555426,0.03243276836925904,0.2665380934689015,0.004442301557815025,0.0017889136846940268,2.981522807823378e-05
D-lactate,cpd00221,True,3,20.0,0.10559945305580482,0.3098479846847792,0.20424853162897438,0.0034041421938162397,10.85769286952176,0.18096154782536267,1.8414547247425537,0.03069091207904256,17.451291589159858,0.29085485981933096,0.005248997830362904,8.748329717271507e-05
L-lactate,cpd00159,True,3,20.0,0.10559945305580482,0.205957738481366,0.10035828542556119,0.00167263809042602,6.999531409092521,0.11665885681820869,11.047543469353563,0.18412572448922607,0.0,0.0,0.003489039063897602,5.815065106496003e-05
