amino_acid_1,amino_acid_2,pair,growth_rate,interaction_effect,butyrate_flux,propionate_flux,formate_flux,ammonia_flux,hydrogen sulfide_flux,methanethiol_flux
L-histidine,L-methionine,L-histidine + L-methionine,0.600252293766331,0.00042901330522859826,9.599516049289468,9.655699982666004,0.897805833988712,-3.9847098993700087,0.0,1.9022619453149425
L-histidine,L-cysteine,L-histidine + L-cysteine,0.6046879421142821,0.0005453158996224783,10.908507411548262,6.9188130122446,0.0,-4.028934750909571,1.6822067611506362,0.16676553745259023
L-histidine,L-aspartate,L-histidine + L-aspartate,0.5964761673905363,0.00038184174128619297,10.553679760495832,7.798613615617914,0.0,-3.94706069563154,0.0,0.0
L-histidine,glycine,L-histidine + glycine,0.5894907830548395,0.00041909518013394376,10.601193405480911,6.9603781416135995,0.0,-3.8774141499725245,0.0,0.0
L-histidine,L-lysine,L-histidine + L-lysine,0.5710904751532085,0.00012603854610115928,10.10459448123835,8.663042632040074,0.0,-4.07217591768201,0.0,0.0
L-methionine,L-cysteine,L-methionine + L-cysteine,0.6290635791067953,-0.0017348764380555881,10.339470164816474,9.629462644771298,0.8430162888953445,-2.441684312237218,1.9389195397035688,1.9039646659038068
L-methionine,L-aspartate,L-methionine + L-aspartate,0.6231125137651524,0.00036235878571100333,9.999300434416135,10.452528952080804,0.799792479835257,-2.380744710064115,0.0,1.8985396547788451
L-methionine,glycine,L-methionine + glycine,0.6179775593378887,0.0022500421329918474,9.77394273026448,10.095200238139917,0.0,-2.328162178700431,0.0,1.8993757706285124
L-methionine,L-lysine,L-methionine + L-lysine,0.5979797414877875,0.0003594755504888747,9.569913578435504,11.159520109353497,0.8482019430116954,-2.6199769669706336,0.0,1.9026319811168573
L-cysteine,L-aspartate,L-cysteine + L-aspartate,0.6273083814738938,0.00023888074089517541,11.334818276289639,7.663017500783738,0.0,-2.423710884061988,1.6703186082909114,0.17300397791831135
L-cysteine,glycine,L-cysteine + glycine,0.6201602007543998,0.0001133377959458004,11.413528280475832,6.782981354324936,0.0,-2.3505126810008496,1.6740753286494923,0.17103259711761834
L-cysteine,L-lysine,L-cysteine + L-lysine,0.6023157141516136,0.00037610246075769904,10.891200698292712,8.305153538656892,0.0,-2.7581989316036326,1.683453483559071,0.16611130599930335
L-aspartate,glycine,L-aspartate + glycine,0.6125056360259342,0.0005070736328897096,10.974827607019328,7.7762819036396165,0.0,-2.272129046713327,0.0,0.0
L-aspartate,L-lysine,L-aspartate + L-lysine,0.594154781937224,0.0002634708117776885,10.536071967519613,9.463554270719097,0.0,-2.396935007813797,0.0,0.0
glycine,L-lysine,glycine + L-lysine,0.5871575034456323,0.0002888300947305744,10.589676244260698,8.597793768727326,0.0,-2.3451529138301908,0.0,0.0
