design_type,solution_index,knockouts,growth,n_knockouts,biomass,butyrate,propionate,acetate,L_lactate,D_lactate,ammonia,h2s,methanethiol
wild_type,-1,none,0.7004949341391764,0,0.7004949341391764,10.847247644628428,11.260544276779532,-5.0,-10.0,0.0,1.4722099853107187,1.9319837383157792,1.893059672715012
optknock,0,rxn02123_c0;rxn90001_c0,0.5464281709471804,2,0.5464281709471978,0.0,1.7203996506242196,11.093822401236284,0.0,0.0,2.907931258008405,1.94694322591719,1.916580114157944
optknock,1,rxn90001_c0;rxn90029_c0,0.5464281709472095,2,0.5464281709471844,0.0,1.7203996506242278,11.09382240123228,0.0,0.0,2.9079312580058225,1.946943225917191,1.9165801141579435
optknock,2,rxn00916_c0;rxn02123_c0,0.6639637428283658,2,0.663963742828355,15.909315758219122,1.6602581924979156,-5.0,-10.000000000001496,0.0,1.8126377803475973,1.935530823307743,1.898636668870866
optknock,3,rxn00916_c0;rxn90029_c0,0.6639637428283616,2,0.6639637428283703,15.909315758220147,1.6602581924979023,-5.0,-10.00000000000369,0.0,1.8126377803475708,1.9355308233077464,1.898636668870864
optknock,4,rxn00410_c0;rxn02123_c0,0.6647872217660944,2,0.6647872217660897,15.903622176568778,1.6598368287927916,-5.0,-10.000000000002144,0.0,1.8049639238712756,1.935450865614704,1.8985109533191584
tilted_optknock,0,rxn00916_c0,0.6981511935280126,1,0.6981511935280206,10.858632693338652,11.271382961656109,-5.0,-10.0,0.0,1.4940508949488795,1.9322113095185904,1.893417477426813
tilted_optknock,1,rxn00566_c0;rxn05957_c0,0.6767236770590495,2,0.67672367705904,12.4134387586177,8.469037228940167,-5.0,-10.0,0.0,1.6937301805924216,0.0,3.8309805532591823
tilted_optknock,2,rxn00410_c0;rxn00916_c0,0.6966708006163835,2,0.6966708006163804,10.865823909445146,11.278229074421017,-5.0,-10.0,0.0,1.5078464180791264,1.93235505187384,1.8936434800640431
tilted_optknock,3,rxn00138_c0;rxn00916_c0,0.6980849775836516,2,0.698084977583711,10.858954346558727,11.271689178907229,-5.0,-10.0,0.0,1.494667949776008,1.932217738916972,1.8934275862147727
tilted_optknock,4,rxn00456_c0;rxn14359_c0,0.668108138752569,2,0.6681081387525701,11.472281161421114,8.700880680457576,-5.0,-10.0,0.0,0.0,1.9419192879932543,0.0
