compound_id,compound_name,units,gut_like,carbohydrate_rich,amino_acid_rich,derivation
cpd00027,D-Glucose,mmol gDW-1 h-1,10.0,20.0,10.0,glucose bound doubled in carbohydrate-rich
cpd00159,L-Lactate,mmol gDW-1 h-1,10.0,10.0,10.0,unchanged across all three media
cpd00029,Acetate,mmol gDW-1 h-1,5.0,5.0,5.0,unchanged across all three media
cpd00067,H+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00001,H2O,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00007,O2,mmol gDW-1 h-1,0.0,0.0,0.0,unchanged across all three media
cpd00011,CO2,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00013,NH3,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00009,Phosphate,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00048,Sulfate,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00971,Na+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00205,K+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00254,Mg,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00063,Ca2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00099,Cl-,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd10515,Fe2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd10516,Fe3+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00030,Mn2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00034,Zn2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00058,Cu2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00149,Co2+,mmol gDW-1 h-1,1000.0,1000.0,1000.0,unchanged across all three media
cpd00305,Thiamin,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00220,Riboflavin,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00133,Niacinamide,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00218,Nicotinate,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00644,Pantothenate,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00104,Biotin,mmol gDW-1 h-1,1.0,1.0,1.0,unchanged across all three media
cpd00041,L-Aspartate,mmol gDW-1 h-1,2.0,2.0,4.0838,scaled by AGORA high-protein/EU-average ratio 2.0419
cpd00033,Glycine,mmol gDW-1 h-1,2.0,2.0,4.0898,scaled by AGORA high-protein/EU-average ratio 2.0449
cpd00039,L-Lysine,mmol gDW-1 h-1,2.0,2.0,3.7602,scaled by AGORA high-protein/EU-average ratio 1.8801
cpd00060,L-Methionine,mmol gDW-1 h-1,2.0,2.0,4.4054,scaled by AGORA high-protein/EU-average ratio 2.2027
cpd00084,L-Cysteine,mmol gDW-1 h-1,2.0,2.0,4.6552,scaled by AGORA high-protein/EU-average ratio 2.3276
cpd00119,L-Histidine,mmol gDW-1 h-1,2.0,2.0,3.6422,scaled by AGORA high-protein/EU-average ratio 1.8211
