compound_id,compound_name,exchange_reaction,exchange_reaction_name,matched,gut_like_uptake_bound
cpd00027,D-Glucose,EX_cpd00027_e0,D-Glucose-e0 Exchange,True,10.0
cpd00159,L-Lactate,EX_cpd00159_e0,L-Lactate-e0 Exchange,True,10.0
cpd00029,Acetate,EX_cpd00029_e0,Acetate-e0 Exchange,True,5.0
cpd00067,H+,EX_cpd00067_e0,H+-e0 Exchange,True,1000.0
cpd00001,H2O,EX_cpd00001_e0,H2O-e0 Exchange,True,1000.0
cpd00007,O2,EX_cpd00007_e0,O2-e0 Exchange,True,0.0
cpd00011,CO2,EX_cpd00011_e0,CO2-e0 Exchange,True,1000.0
cpd00013,NH3,EX_cpd00013_e0,NH3-e0 Exchange,True,1000.0
cpd00009,Phosphate,EX_cpd00009_e0,Phosphate-e0 Exchange,True,1000.0
cpd00048,Sulfate,EX_cpd00048_e0,Sulfate-e0 Exchange,True,1000.0
cpd00971,Na+,EX_cpd00971_e0,Na+-e0 Exchange,True,1000.0
cpd00205,K+,EX_cpd00205_e0,K+-e0 Exchange,True,1000.0
cpd00254,Mg,EX_cpd00254_e0,Mg-e0 Exchange,True,1000.0
cpd00063,Ca2+,EX_cpd00063_e0,Ca2+-e0 Exchange,True,1000.0
cpd00099,Cl-,EX_cpd00099_e0,Cl- Exchange,True,1000.0
cpd10515,Fe2+,EX_cpd10515_e0,Fe2+-e0 Exchange,True,1000.0
cpd10516,Fe3+,EX_cpd10516_e0,fe3-e0 Exchange,True,1000.0
cpd00030,Mn2+,EX_cpd00030_e0,Mn2+-e0 Exchange,True,1000.0
cpd00034,Zn2+,EX_cpd00034_e0,Zn2+-e0 Exchange,True,1000.0
cpd00058,Cu2+,EX_cpd00058_e0,Cu2+-e0 Exchange,True,1000.0
cpd00149,Co2+,EX_cpd00149_e0,Co2+-e0 Exchange,True,1000.0
cpd00305,Thiamin,EX_cpd00305_e0,Thiamin Exchange,True,1.0
cpd00220,Riboflavin,EX_cpd00220_e0,Riboflavin Exchange,True,1.0
cpd00133,Niacinamide,EX_cpd00133_e0,Niacinamide Exchange,True,1.0
cpd00218,Nicotinate,,,False,1.0
cpd00644,Pantothenate,EX_cpd00644_e0,Pantothenate Exchange,True,1.0
cpd00104,Biotin,EX_cpd00104_e0,BIOT-e0 Exchange,True,1.0
cpd00041,L-Aspartate,EX_cpd00041_e0,L-Aspartate-e0 Exchange,True,2.0
cpd00033,Glycine,EX_cpd00033_e0,Glycine-e0 Exchange,True,2.0
cpd00039,L-Lysine,EX_cpd00039_e0,L-Lysine-e0 Exchange,True,2.0
cpd00060,L-Methionine,EX_cpd00060_e0,L-Methionine-e0 Exchange,True,2.0
cpd00084,L-Cysteine,EX_cpd00084_e0,L-Cysteine-e0 Exchange,True,2.0
cpd00119,L-Histidine,EX_cpd00119_e0,L-Histidine-e0 Exchange,True,2.0
