medium,reaction,minimum,maximum
Gut-like,EX_cpd11416_c0,0.6304454407252588,0.7004949341392247
Gut-like,EX_cpd00027_e0,-10.0,-8.669999999998202
Gut-like,EX_cpd00159_e0,-10.0,0.014306410879469489
Gut-like,EX_cpd00221_e0,0.0,5.700000000007136
Gut-like,EX_cpd00029_e0,-5.0,15.042919232638155
Gut-like,EX_cpd00211_e0,0.0,20.206370081293393
Gut-like,EX_cpd00141_e0,0.0,18.74060495351989
Gut-like,EX_cpd00047_e0,0.0,32.579230314680444
Gut-like,EX_cpd00036_e0,0.0,9.480983975178576
Gut-like,EX_cpd00013_e0,-3.946128122104845,5.714254640420752
Gut-like,EX_cpd00239_e0,0.0,5.26965941823471
Gut-like,EX_cpd00324_e0,0.0,5.2282497251198565
Gut-like,EX_cpd00011_e0,2.351944047618497,36.53111627782367
Carbon-rich,EX_cpd11416_c0,1.0805676797039037,1.2006307552265598
Carbon-rich,EX_cpd00027_e0,-20.0,-17.592857142859543
Carbon-rich,EX_cpd00159_e0,-10.0,4.566666666646828
Carbon-rich,EX_cpd00221_e0,0.0,11.233333333313567
Carbon-rich,EX_cpd00029_e0,-5.0,26.897093402036376
Carbon-rich,EX_cpd00211_e0,0.0,29.937815575317053
Carbon-rich,EX_cpd00141_e0,0.0,28.454481623309675
Carbon-rich,EX_cpd00047_e0,0.0,56.36619939071659
Carbon-rich,EX_cpd00036_e0,0.0,19.248269655299197
Carbon-rich,EX_cpd00013_e0,-13.302954919429336,1.226390041612263
Carbon-rich,EX_cpd00239_e0,0.0,8.864447870510958
Carbon-rich,EX_cpd00324_e0,0.0,7.426831822901822
Carbon-rich,EX_cpd00011_e0,-5.192753831402694,54.31801380414458
AA-rich,EX_cpd11416_c0,0.7494487738852739,0.8327208598725591
AA-rich,EX_cpd00027_e0,-10.0,-8.418948246940431
AA-rich,EX_cpd00159_e0,-10.0,1.3810706363071412
AA-rich,EX_cpd00221_e0,0.0,6.7759360845443455
AA-rich,EX_cpd00029_e0,-5.0,19.143211908885064
AA-rich,EX_cpd00211_e0,0.0,24.0246779016898
AA-rich,EX_cpd00141_e0,0.0,22.207502616261877
AA-rich,EX_cpd00047_e0,0.0,38.236531212117484
AA-rich,EX_cpd00036_e0,0.0,11.121050465278117
AA-rich,EX_cpd00013_e0,2.589130240477294,17.282531057063434
AA-rich,EX_cpd00239_e0,0.0,8.541718354153886
AA-rich,EX_cpd00324_e0,0.0,9.461996639643953
AA-rich,EX_cpd00011_e0,6.8279589063815544,47.41335899847907
